Id,Divorce Date,Divorce Type,DOB Male,Age Male,Income Male,Marriage Date,Education Male,Marriage Year,Number Children,Zodiac_Sign,Income Category,Divorce Month
1,2006-06-09,Necessary,1975-12-18,30.0,2000.0,2000-06-26,High School,5.0,1.0,Sagittarius,Poor,06
2,2011-02-01,Necessary,1969-06-04,41.0,5000.0,2000-02-02,Associates,2.0,2.0,Gemini,Poor,02
3,2005-03-01,Necessary,1970-07-09,34.0,5600.0,1991-09-10,High School,10.0,2.0,Cancer,Poor,03
4,2005-03-01,Necessary,1974-02-07,31.0,3500.0,1993-02-01,Associates,10.0,2.0,Aquarius,Poor,03
5,2006-03-01,Necessary,1964-04-03,41.0,12000.0,1998-11-12,Bachelors,7.0,1.0,Aries,Lower-middle Class,03
6,2007-03-01,Necessary,1969-03-03,37.0,12000.0,1996-04-30,Bachelors,11.0,1.0,Pisces,Lower-middle Class,03
7,2007-03-01,Necessary,1961-09-26,45.0,6000.0,1987-03-19,Bachelors,19.0,3.0,Libra,Poor,03
8,2010-03-01,Necessary,1968-05-31,41.0,5000.0,2002-03-22,Bachelors,3.0,1.0,Gemini,Poor,03
9,2002-04-01,Voluntary,1968-05-09,33.0,2000.0,1989-05-26,Elementary,12.0,2.0,Taurus,Poor,04
10,2008-04-01,Necessary,1964-04-11,43.0,14000.0,2001-05-30,Bachelors,5.0,1.0,Aries,Lower-middle Class,04
11,2009-04-01,Voluntary,1966-02-25,43.0,5000.0,1985-04-12,High School,23.0,1.0,Pisces,Poor,04
12,2009-04-01,Necessary,1955-10-15,53.0,10000.0,1986-01-27,Bachelors,22.0,2.0,Libra,Lower-middle Class,04
13,2004-06-01,Voluntary,1970-04-03,34.0,2000.0,1998-11-28,Associates,5.0,1.0,Aries,Poor,06
14,2012-06-01,Necessary,1971-02-23,41.0,5000.0,1995-10-13,Associates,13.0,2.0,Pisces,Poor,06
15,2012-06-01,Necessary,1971-07-26,40.0,6000.0,1997-12-23,Bachelors,10.0,2.0,Leo,Poor,06
16,2002-07-01,Voluntary,1956-10-03,45.0,8000.0,1985-02-22,Bachelors,17.0,1.0,Libra,Poor,07
17,2003-07-01,Voluntary,1970-06-24,33.0,5000.0,1991-04-12,Associates,12.0,2.0,Cancer,Poor,07
18,2013-07-01,Necessary,1981-07-06,31.0,12000.0,2007-01-30,Bachelors,4.0,1.0,Cancer,Lower-middle Class,07
19,2000-08-01,Voluntary,1965-01-05,35.0,2200.0,1992-09-04,High School,7.0,2.0,Capricorn,Poor,08
20,2000-08-01,Voluntary,1963-04-08,37.0,3000.0,1995-05-27,Bachelors,5.0,1.0,Aries,Poor,08
21,2003-08-01,Voluntary,1971-03-13,32.0,3900.0,1992-05-14,Associates,11.0,2.0,Pisces,Poor,08
22,2003-08-01,Voluntary,1966-09-01,36.0,12000.0,1992-10-24,Bachelors,11.0,3.0,Virgo,Lower-middle Class,08
23,2011-08-01,Necessary,1980-04-14,31.0,12000.0,2002-06-10,Bachelors,9.0,1.0,Aries,Lower-middle Class,08
24,2011-08-01,Necessary,1980-12-15,30.0,5000.0,2002-05-29,Bachelors,9.0,2.0,Sagittarius,Poor,08
25,2000-09-01,Voluntary,1972-11-17,27.0,25000.0,1994-12-19,Bachelors,3.0,1.0,Scorpio,Wealthy,09
26,2004-09-01,Voluntary,1972-12-17,31.0,10000.0,1999-05-28,Bachelors,5.0,1.0,Sagittarius,Lower-middle Class,09
27,2008-09-01,Necessary,1970-01-22,38.0,6500.0,1993-08-10,Bachelors,15.0,2.0,Aquarius,Poor,09
28,2008-09-01,Necessary,1963-02-09,45.0,10000.0,1994-12-24,Bachelors,13.0,2.0,Aquarius,Lower-middle Class,09
29,2008-09-01,Necessary,1975-01-12,33.0,5000.0,2003-12-13,Bachelors,15.0,2.0,Capricorn,Poor,09
30,2000-11-01,Voluntary,1960-03-29,40.0,3000.0,1980-12-27,Bachelors,19.0,3.0,Aries,Poor,11
31,2012-11-01,Voluntary,1952-12-15,59.0,8400.0,1988-10-08,Bachelors,24.0,1.0,Sagittarius,Poor,11
32,2004-12-01,Voluntary,1967-01-03,37.0,9000.0,1991-12-20,Bachelors,12.0,2.0,Capricorn,Poor,12
33,2008-12-01,Necessary,1944-11-29,64.0,3000.0,1988-06-04,High School,13.0,2.0,Sagittarius,Poor,12
34,2009-12-01,Necessary,1967-03-23,42.0,6000.0,1992-07-18,Bachelors,13.0,2.0,Aries,Poor,12
35,2009-12-01,Necessary,1962-05-23,47.0,1000.0,1989-12-20,Bachelors,16.0,1.0,Gemini,Poor,12
36,2009-12-01,Necessary,1976-06-18,33.0,8000.0,2004-02-06,Bachelors,4.0,1.0,Gemini,Poor,12
37,2001-01-02,Voluntary,1965-02-20,35.0,2400.0,1989-03-08,Elementary,11.0,2.0,Pisces,Poor,01
38,2010-02-02,Necessary,1973-03-25,36.0,3500.0,1994-09-02,Associates,12.0,2.0,Aries,Poor,02
39,2012-02-02,Necessary,1986-01-27,26.0,10000.0,2009-11-14,Bachelors,2.0,1.0,Aquarius,Lower-middle Class,02
40,2004-03-02,Voluntary,1972-02-21,32.0,6500.0,1998-11-27,Bachelors,5.0,1.0,Pisces,Poor,03
41,2004-03-02,Voluntary,1961-02-28,43.0,5000.0,1986-05-30,Bachelors,17.0,3.0,Pisces,Poor,03
42,2004-03-02,Voluntary,1979-12-08,24.0,4000.0,2000-01-24,Associates,3.0,1.0,Sagittarius,Poor,03
43,2006-03-02,Necessary,1975-12-17,30.0,3000.0,2002-04-13,Associates,3.0,1.0,Sagittarius,Poor,03
44,2009-03-02,Necessary,1959-03-04,49.0,18000.0,1988-09-23,Bachelors,20.0,2.0,Pisces,Upper-middle Class,03
45,2009-03-02,Necessary,1969-10-29,39.0,10000.0,1994-09-09,Bachelors,14.0,2.0,Scorpio,Lower-middle Class,03
46,2001-04-02,Voluntary,1970-04-26,30.0,2500.0,1992-11-28,High School,8.0,1.0,Taurus,Poor,04
47,2001-04-02,Voluntary,1973-11-02,27.0,3500.0,1998-08-21,Bachelors,2.0,1.0,Scorpio,Poor,04
48,2007-04-02,Necessary,1951-10-17,55.0,12000.0,1989-12-23,Bachelors,14.0,2.0,Libra,Lower-middle Class,04
49,2007-04-02,Necessary,1973-11-14,33.0,3500.0,2003-11-28,Bachelors,3.0,1.0,Scorpio,Poor,04
50,2012-04-02,Voluntary,1972-11-06,39.0,6000.0,1988-10-08,Associates,25.0,1.0,Scorpio,Poor,04
51,2000-05-02,Voluntary,1970-03-18,30.0,6000.0,1991-08-24,Associates,8.0,2.0,Pisces,Poor,05
