Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
1,9/6/06,Necessary,American,1983/08/01,22.0,Homemaker,1800.0,26/6/00,Secondary School,Employer,5.0,1.0,Leo
2,1/2/11,Necessary,American,2070/02/16,40.0,Homemaker,5000.0,2/2/00,Professional,Employer,2.0,2.0,Aquarius
3,1/3/05,Necessary,American,2069/05/25,35.0,Homemaker,4500.0,10/9/91,Secondary School,Employer,10.0,2.0,Gemini
4,1/3/05,Necessary,American,2067/03/19,37.0,Employer,4000.0,1/2/93,High School,Employer,10.0,2.0,Pisces
5,1/3/06,Necessary,American,1976/08/20,29.0,Homemaker,7000.0,12/11/98,Professional,Employer,7.0,1.0,Leo
6,1/3/07,Necessary,American,2066/07/06,40.0,Homemaker,2500.0,30/4/96,High School,Employer,11.0,1.0,Cancer
7,1/3/07,Necessary,American,2062/05/17,44.0,Homemaker,4000.0,19/3/87,Professional,Employer,19.0,3.0,Taurus
8,1/3/10,Necessary,American,1976/08/16,33.0,Homemaker,3800.0,22/3/02,Professional,Employer,3.0,1.0,Leo
9,1/4/02,Voluntary,American,2067/07/06,34.0,Homemaker,3400.0,26/5/89,High School,Employer,12.0,2.0,Cancer
10,1/4/08,Necessary,American,2070/11/17,37.0,Homemaker,4200.0,30/5/01,Professional,Employer,5.0,1.0,Scorpio
11,1/4/09,Voluntary,American,2065/01/14,44.0,Homemaker,6500.0,12/4/85,Professional,Employer,23.0,1.0,Capricorn
12,1/4/09,Necessary,American,2063/11/26,45.0,Homemaker,7000.0,27/1/86,Professional,Employer,22.0,2.0,Sagittarius
13,1/6/04,Voluntary,American,1977/11/20,26.0,Homemaker,3000.0,28/11/98,Professional,Employer,5.0,1.0,Scorpio
14,1/6/12,Necessary,American,1973/01/09,38.0,Homemaker,6000.0,13/10/95,High School,Employer,13.0,2.0,Capricorn
15,1/6/12,Necessary,American,2070/04/20,42.0,Secretary,7000.0,23/12/97,Professional,Employer,10.0,2.0,Taurus
16,1/7/02,Voluntary,American,2051/06/06,51.0,Homemaker,14000.0,22/2/85,Professional,Employer,17.0,1.0,Gemini
17,1/7/03,Voluntary,American,2071/12/07,31.0,Homemaker,2000.0,12/4/91,High School,Employer,12.0,2.0,Sagittarius
18,1/7/13,Necessary,American,1982/05/01,31.0,Stylist,7000.0,30/1/07,Professional,Employer,4.0,1.0,Taurus
19,1/8/00,Voluntary,American,2062/09/30,37.0,Secretary,2800.0,4/9/92,Professional,Employer,7.0,2.0,Libra
20,1/8/00,Voluntary,American,2072/08/25,27.0,Teacher,1700.0,27/5/95,High School,Employer,5.0,1.0,Virgo
21,1/8/03,Voluntary,American,2070/07/06,33.0,Homemaker,2500.0,14/5/92,High School,Employer,11.0,2.0,Cancer
22,1/8/03,Voluntary,American,2071/06/14,32.0,Accountant,1500.0,24/10/92,High School,Establishment,11.0,3.0,Gemini
23,1/8/11,Necessary,American,1978/12/12,32.0,Homemaker,6000.0,10/6/02,Professional,Employer,9.0,1.0,Sagittarius
24,1/8/11,Necessary,American,1982/11/24,28.0,Merchant,6000.0,29/5/02,Professional,Employer,9.0,2.0,Sagittarius
25,1/9/00,Voluntary,American,1976/10/29,23.0,Secretary,3400.0,19/12/94,Professional,Employer,3.0,1.0,Scorpio
26,1/9/04,Voluntary,American,1978/06/29,26.0,Homemaker,8300.0,28/5/99,Professional,Employer,5.0,1.0,Cancer
27,1/9/08,Necessary,American,2071/08/31,36.0,Homemaker,10000.0,10/8/93,Professional,Employer,15.0,2.0,Virgo
28,1/9/08,Necessary,American,2063/07/04,45.0,Homemaker,10000.0,24/12/94,Professional,Employer,13.0,2.0,Cancer
29,1/9/08,Necessary,American,1977/05/30,31.0,Homemaker,6000.0,13/12/03,Professional,Employer,15.0,2.0,Gemini
30,1/11/00,Voluntary,American,2062/06/18,38.0,Homemaker,4000.0,27/12/80,High School,Employer,19.0,3.0,Gemini
31,1/11/12,Voluntary,American,2061/03/18,51.0,Housewife,3500.0,8/10/88,Professional,Employer,24.0,1.0,Pisces
32,1/12/04,Voluntary,American,2067/10/03,37.0,Secretary,4800.0,20/12/91,Professional,Employer,12.0,2.0,Libra
